TARGET_TYPE	TYPE_META_VER
oracle_si_diskshelf	13.41020
oracle_si_fabric	13.01
oracle_si_filesystem_host	5.1
oracle_si_filesystem_host	5.5
oracle_si_filesystem_host	5.500013
oracle_si_filesystem_host	5.500034
oracle_si_filesystem_host	5.500044
oracle_si_filesystem_host	5.500113
oracle_si_filesystem_host	5.500139
oracle_si_filesystem_host_remote	13.01
oracle_si_filesystem_host_remote	13.02
oracle_si_filesystem_host_remote	13.04
oracle_si_filesystem_host_remote	13.41020
oracle_si_filesystem_zfssa	13.01
oracle_si_filesystem_zfssa	13.02
oracle_si_filesystem_zfssa	13.03
oracle_si_filesystem_zfssa	13.04
oracle_si_filesystem_zfssa	13.04802
oracle_si_filesystem_zfssa	13.05
oracle_si_filesystem_zfssa	13.06
oracle_si_filesystem_zfssa	13.41020
oracle_si_filesystem_zfssa	13.41104
oracle_si_host_remote	13.01
oracle_si_host_remote	13.02
oracle_si_host_remote	13.04
oracle_si_host_remote	13.41020
oracle_si_host_remote_ssh	13.01
oracle_si_host_remote_ssh	13.02
oracle_si_host_remote_ssh	13.04
oracle_si_host_remote_ssh	13.41020
oracle_si_hw_component_diskshelf	13.01
oracle_si_hw_component_diskshelf	13.02
oracle_si_hw_component_diskshelf	13.03
oracle_si_hw_component_diskshelf	13.04
oracle_si_hw_component_diskshelf	13.41020
oracle_si_hw_component_pdu	13.01
oracle_si_hw_component_pdu	13.02
oracle_si_hw_component_pdu	13.03
oracle_si_hw_component_pdu	13.04
oracle_si_hw_component_pdu	13.04013
oracle_si_hw_component_pdu	13.41020
oracle_si_hw_component_server	13.01
oracle_si_hw_component_server	13.02
oracle_si_hw_component_server	13.03
oracle_si_hw_component_server	13.03814
oracle_si_hw_component_server	13.04
oracle_si_hw_component_server	13.05
oracle_si_hw_component_server	13.06
oracle_si_hw_component_server	13.07
oracle_si_hw_component_server	13.41020
oracle_si_hw_component_server	13.41044
oracle_si_hw_component_switch	13.01
oracle_si_hw_component_switch	13.02
oracle_si_hw_component_switch	13.03
oracle_si_hw_component_switch	13.04
oracle_si_hw_component_switch	13.05
oracle_si_hw_component_switch	13.06
oracle_si_hw_component_switch	13.06009
oracle_si_hw_component_switch	13.41020
oracle_si_hw_component_switch	13.41044
oracle_si_hw_component_switch	13.41104
oracle_si_hw_component_virtual_server	13.01
oracle_si_hw_component_virtual_server	13.02
oracle_si_hw_component_virtual_server	13.03
oracle_si_hw_component_virtual_server	13.03814
oracle_si_hw_component_virtual_server	13.04
oracle_si_hw_component_virtual_server	13.05
oracle_si_hw_component_virtual_server	13.06
oracle_si_hw_component_virtual_server	13.07
oracle_si_hw_component_virtual_server	13.41020
oracle_si_hw_component_virtual_server	13.41044
oracle_si_hw_component_zfssa	13.01
oracle_si_hw_component_zfssa	13.02
oracle_si_hw_component_zfssa	13.03
oracle_si_hw_component_zfssa	13.04
oracle_si_hw_component_zfssa	13.04802
oracle_si_hw_component_zfssa	13.05
oracle_si_hw_component_zfssa	13.06
oracle_si_hw_component_zfssa	13.41020
oracle_si_hw_component_zfssa	13.41104
oracle_si_lvm_host	5.1
oracle_si_lvm_host	5.5
oracle_si_lvm_host	5.500013
oracle_si_lvm_host	5.500034
oracle_si_lvm_host	5.500044
oracle_si_lvm_host	5.500113
oracle_si_lvm_host	5.500139
oracle_si_lvm_host_remote	13.01
oracle_si_lvm_host_remote	13.02
oracle_si_lvm_host_remote	13.04
oracle_si_lvm_host_remote	13.41020
oracle_si_minicluster	13.03
oracle_si_netswitch	13.01
oracle_si_netswitch	13.02
oracle_si_netswitch	13.03
oracle_si_netswitch	13.04
oracle_si_netswitch	13.05
oracle_si_netswitch	13.06
oracle_si_netswitch	13.06009
oracle_si_netswitch	13.41020
oracle_si_netswitch	13.41044
oracle_si_netswitch	13.41104
oracle_si_network	13.01
oracle_si_network_data_link_host	5.1
oracle_si_network_data_link_host	5.5
oracle_si_network_data_link_host	5.500013
oracle_si_network_data_link_host	5.500034
oracle_si_network_data_link_host	5.500044
oracle_si_network_data_link_host	5.500113
oracle_si_network_data_link_host	5.500139
oracle_si_network_data_link_host_remote	13.01
oracle_si_network_data_link_host_remote	13.02
